"PRODUCT_CODE","PRODUCT_NAME","EGL_DEPARTMENT","EGL_TRANSIT"
M09,Mortgage BNS Genworth Individual Insured,10010,"00002"
KS134,VISA Value - Companion Card - RE Secured,10210,"00002"
KS69,VISA Classic - Visa Classic-Scotia Hockey > $125K,10210,"00002"
KS126,ScotiaLine Visa - Regular - RE Secured >$125K,10010,"00002"
KS114,VISA Gold - Visa Gold-Regular - RE Secured >$125K,10210,"00002"
S03,Direct  CLIP,10010,"00002"
S07,Direct Unsecured - Other,10010,"00002"
KS47,Scotia Student Line - Scotia Student Loan type A,10010,"00002"
KS100,VISA Gold - Visa Gold-BA No Fee - RE Secured,10210,"00002"
KS13,AMEX - Scotiabank Standard AMEX,10211,"00002"
KS119,VISA Gold - Visa Gold-Staff,10210,"00002"
KS74,VISA Classic - Visa Classic-Regular - RE Secured >$125K,10210,"00002"
KS124,ScotiaLine Visa - Regular - RE Secured,10010,"00002"
M03,Mortgage BNS Genworth Individual Insured,10010,"00002"
KS58,VISA Classic - Corporate Credit - RE Secured >$125K,10210,"00002"
KS121,VISA Gold - Visa Gold-Staff >$125K,10210,"00002"
KS139,VISA Value - Visa Value Regular >$125K,10210,"00002"
KS37,ScotiaLine - RRSP Catch-up,10010,"00002"
KS111,VISA Gold - Visa Gold-Regular,10210,"00002"
S09,Indirect Auto - Regular,15110,"00002"
KS107,VISA Gold - Private Banking,17510,"00002"
KS122,VISA Gold - Visa Gold-Staff - RE Secured >$125K,10210,"00002"
KS48,Scotia Student Line - Scotia Student Loan type B,10010,"00002"
KS63,VISA Classic - Visa Classic-No Fee,10210,"00002"
KS133,VISA Value - Companion Card,10210,"00002"
KS131,VISA Value - Visa Value-No Fee >$125K,10210,"00002"
KS99,VISA Gold - Visa Gold-BA No Fee,10210,"00002"
KS18,AMEX - Scotiabank Standard AMEX Staff - RE Secured,10211,"00002"
KS11,AMEX - Scotiabank Platinum AMEX >$125K,10211,"00002"
KS105,VISA Gold - Visa Gold-No Fee >$125K,10210,"00002"
KS116,VISA Gold - ScotiaProfessional Plan - RE Secured,10210,"00002"
KS53,Scotia Student Line - Scotia Professional Student Plan type A >$125K,10010,"00002"
S02,Direct Cash/RRC,10010,"00002"
S13,Indirect - Marine,15110,"00002"
M20,Mortgage Tangerine Genworth Individual Insured,10910,"00002"
M06,Mortgage BNS Genworth Bulk Insured,10010,"00002"
KS33,ScotiaLine - Regular,10010,"00002"
KS24,ScotiaLine - Cash Secured - RE Secured >$125K,10010,"00002"
M19,Mortgage Tangerine CMHC Bulk Insured,10910,"00002"
M08,Mortgage BNS Genworth Bulk Insured,10010,"00002"
KS08,AMEX - Scotiabank Gold AMEX Staff - RE Secured >$125K,10211,"00002"
M26,Mortgage Tangerine Guaranty Individual Insured,10910,"00002"
KS52,Scotia Student Line - Scotia Professional Student Plan type B,10010,"00002"
KS87,VISA Classic - Visa Classic-Staff,10210,"00002"
KS96,VISA Classic - Scene-Regular - RE Secured,10210,"00002"
KS80,VISA Classic - Student Line - RE Secured,10210,"00002"
KS128,ScotiaLine Visa - Real Estate Secured >$125K,10010,"00002"
KS140,VISA Value - Visa Value Regular - RE Secured >$125K,10210,"00002"
KS56,VISA Classic - Corporate Credit - RE Secured,10210,"00002"
S15,Indirect RV,15110,"00002"
KS127,ScotiaLine Visa - Real Estate Secured,10010,"00002"
KS103,VISA Gold - Visa Gold-No Fee,10210,"00002"
KS46,Scotia Student Line - Scotia Student Line type B  >$125K,10010,"00002"
M33,Mortgage Tangerine Genworth Bulk Insured,10910,"00002"
KS136,VISA Value - Companion Card - RE Secured >$125K,10210,"00002"
S10,Indirect Auto - Rate Subv.,15110,"00002"
M16,Mortgage Tangerine CMHC Individual Insured,10910,"00002"
M32,Mortgage Tangerine Conventional Uninsured,10910,"00002"
KS12,AMEX - Scotiabank Platinum AMEX - RE Secured >$125K,10211,"00002"
KS62,VISA Classic - Scotia Momentum VISA-Infinite - RE Secured >$125K,10210,"00002"
KS97,VISA Classic - Scene-Regular > $125K,10210,"00002"
M30,Mortgage Tangerine Guaranty Individual Insured,10910,"00002"
M29,Mortgage Tangerine Guaranty Bulk Insured,10910,"00002"
KS21,ScotiaLine - Cash Secured,10010,"00002"
