"NCR_PD_BAND_ID","NCR_PD_BAND_KEY_VAL","NCR_EXPSR_CL_KEY_VAL","PD_MIN_VAL","PD_MAX_VAL","PD_MIN_VAL_DESC","PD_MAX_VAL_DESC","PD_BAND_EXPSR_CL_DESC","NCR_PD_BAND_DESC","FRS_CD","PD_BAND","TRANSACTOR_F","CMHC_F","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
17497,"1416","0507",0.37951541,0.47615668,"37.9515%","47.6156%",Other Retail,PD Band 16,"16","16",,,"202401","202411",N,2024-02-03-22.55.00.000000,2024-12-13-13.57.00.000000
17288,"1417","0507",0.47418489,0.51444110,"47.4185%","51.4441%",Other Retail,PD Band 17,"17","17",,,"202302","202302",N,2023-03-01-11.29.00.000000,2023-04-12-15.57.00.000000
17502,"1417","0599",0.18037254,0.20774521,"18.0372%","20.7745%",No Exposure Class,PD Band 17,"17","17",,,"202401","202411",N,2024-02-03-22.55.00.000000,2024-12-13-13.57.00.000000
17503,"1418","0504",0.82863018,0.86420455,"82.8630%","86.4204%",Total QRRE,PD Band 18,"18","18",N,,"202401","202411",N,2024-02-03-22.55.00.000000,2024-12-13-13.57.00.000000
17616,"1418","0599",0.13369767,0.19705182,"13.3697%","19.7051%",No Exposure Class,PD Band 18,"18","18",,,"202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17621,"1420","0504",0.83810236,0.87370617,"83.8102%","87.3706%",Total QRRE,PD Band 20,"20","20",T,,"202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17398,"1420","0599",0.38326177,0.47418489,"38.3262%","47.4185%",No Exposure Class,PD Band 20,"20","20",,,"202303","202312",N,2023-04-12-15.57.00.000000,2024-02-03-22.55.00.000000
17514,"1421","0599",0.51091571,0.56529663,"51.0915%","56.5296%",No Exposure Class,PD Band 21,"21","21",,,"202401","202411",N,2024-02-03-22.55.00.000000,2024-12-13-13.57.00.000000
17101,"1426","0501",,,,,Mortgage and HELOC,Defaulted - 100%,"26","26",,,"200010","999912",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17521,"1426","0502",1.00000000,1.00000000,"100.00%","100.00%",Mortgage,Defaulted - 100%,"26","26",,Y,"202401","999912",Y,2024-02-03-22.55.00.000000,2024-02-03-22.55.00.000000
17204,"1426","0599",,,,,No Exposure Class,Defaulted - 100%,"26","26",,,"200010","202302",N,2014-10-02-10.56.09.000000,2023-04-12-15.57.00.000000
17188,"1498","0598",,,,,Unknown,Unknown,,,,,"200010","999912",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17035,"1400","0507",-1.00000000,-1.00000000,,,Other Retail,Total PD Band,,,,,"200010","999912",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17070,"1401","0500",,,,,Total Retail,PD Band 1,"1","1",,,"200010","999912",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17071,"1402","0500",,,,,Total Retail,PD Band 2,"2","2",,,"200010","999912",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17528,"1402","0502",0.00050001,0.00099384,"0.0500%","0.0993%",Mortgage,PD Band 2,"2","2",,Y,"202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17248,"1402","0502",0.00041555,0.00079631,"0.0416%","0.0796%",Mortgage,PD Band 2,"2","2",,Y,"202302","202302",N,2023-03-01-11.29.00.000000,2023-04-12-15.57.00.000000
17408,"1402","0502",0.00050001,0.00094010,"0.0500%","0.0940%",Mortgage,PD Band 2,"2","2",,Y,"202401","202411",N,2024-02-03-22.55.00.000000,2024-12-13-13.57.00.000000
17020,"1402","0503",0.00047500,0.00128300,"0.0475%","0.1283%",HELOC,PD Band 2,"2","2",,,"200010","202301",N,2014-10-02-10.56.09.000000,2023-03-01-11.29.00.000000
17303,"1402","0503",0.00050001,0.00150370,"0.0500%","0.1504%",HELOC,PD Band 2,"2","2",,,"202303","202312",N,2023-04-12-15.57.00.000000,2024-02-03-22.55.00.000000
17305,"1402","0504",0.00050001,0.00077127,"0.0500%","0.0771%",Total QRRE,PD Band 2,"2","2",T,,"202303","202312",N,2023-04-12-15.57.00.000000,2024-02-03-22.55.00.000000
17308,"1403","0503",0.00150371,0.00715699,"0.1504%","0.7157%",HELOC,PD Band 3,"3","3",,,"202303","202312",N,2023-04-12-15.57.00.000000,2024-02-03-22.55.00.000000
17021,"1403","0503",0.00128400,0.00305100,"0.1284%","0.3051%",HELOC,PD Band 3,"3","3",,,"200010","202301",N,2014-10-02-10.56.09.000000,2023-03-01-11.29.00.000000
17416,"1403","0503",0.00151885,0.00717040,"0.1518%","0.7170%",HELOC,PD Band 3,"3","3",,,"202401","202411",N,2024-02-03-22.55.00.000000,2024-12-13-13.57.00.000000
17538,"1403","0504",0.00082646,0.00103099,"0.0826%","0.1030%",Total QRRE,PD Band 3,"3","3",T,,"202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17253,"1403","0504",0.00082009,0.00689022,"0.0820%","0.6890%",Total QRRE,PD Band 3,"3","3",T,,"202302","202302",N,2023-03-01-11.29.00.000000,2023-04-12-15.57.00.000000
17311,"1403","0507",0.00093994,0.00317876,"0.0940%","0.3179%",Other Retail,PD Band 3,"3","3",,,"202303","202312",N,2023-04-12-15.57.00.000000,2024-02-03-22.55.00.000000
17543,"1404","0503",0.01121711,0.11878270,"1.1217%","11.8782%",HELOC,PD Band 4,"4","4",,,"202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17425,"1404","0504",0.00094610,0.00434129,"0.0946%","0.4341%",Total QRRE,PD Band 4,"4","4",T,,"202401","202411",N,2024-02-03-22.55.00.000000,2024-12-13-13.57.00.000000
17158,"1404","0511",,,,,Residential Mortgage - Other Insured,PD Band 4,"4","4",,,"200010","999912",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17547,"1404","0599",0.00099385,0.00149012,"0.0993%","0.1490%",No Exposure Class,PD Band 4,"4","4",,,"202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17427,"1404","0599",0.00094610,0.00195692,"0.0946%","0.1956%",No Exposure Class,PD Band 4,"4","4",,,"202401","202411",N,2024-02-03-22.55.00.000000,2024-12-13-13.57.00.000000
17548,"1405","0502",0.00462207,0.00717356,"0.4622%","0.7173%",Mortgage,PD Band 5,"5","5",,,"202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17006,"1405","0502",0.00239100,0.00366900,"0.2391%","0.3669%",Mortgage,PD Band 5,"5","5",,,"200010","202301",N,2014-10-02-10.56.09.000000,2023-03-01-11.29.00.000000
17218,"1405","0502",0.00443382,0.00678848,"0.4434%","0.6788%",Mortgage,PD Band 5,"5","5",,,"202302","202302",N,2023-03-01-11.29.00.000000,2023-04-12-15.57.00.000000
17657,"1405","0507",0.00293957,0.00612171,"0.2939%","0.6121%",Other Retail,PD Band 5,"5","5",,,"202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17220,"1405","0507",0.00835303,0.00915971,"0.8353%","0.9160%",Other Retail,PD Band 5,"5","5",,,"202302","202302",N,2023-03-01-11.29.00.000000,2023-04-12-15.57.00.000000
17007,"1406","0502",0.00367000,0.00694700,"0.3670%","0.6947%",Mortgage,PD Band 6,"6","6",,,"200010","202301",N,2014-10-02-10.56.09.000000,2023-03-01-11.29.00.000000
17329,"1406","0503",0.10447019,0.27128865,"10.4470%","27.1289%",HELOC,PD Band 6,"6","6",,,"202303","202312",N,2023-04-12-15.57.00.000000,2024-02-03-22.55.00.000000
17558,"1406","0504",0.00616274,0.00797502,"0.6162%","0.7975%",Total QRRE,PD Band 6,"6","6",T,,"202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17443,"1407","0502",0.01860309,0.02376049,"1.8603%","2.3760%",Mortgage,PD Band 7,"7","7",,Y,"202401","202411",N,2024-02-03-22.55.00.000000,2024-12-13-13.57.00.000000
17225,"1407","0503",0.27128865,0.54415912,"27.1289%","54.4159%",HELOC,PD Band 7,"7","7",,,"202302","202302",N,2023-03-01-11.29.00.000000,2023-04-12-15.57.00.000000
17264,"1407","0504",0.02146365,0.02444067,"2.1464%","2.4441%",Total QRRE,PD Band 7,"7","7",N,,"202302","202302",N,2023-03-01-11.29.00.000000,2023-04-12-15.57.00.000000
17161,"1407","0511",,,,,Residential Mortgage - Other Insured,PD Band 7,"7","7",,,"200010","999912",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17674,"1408","0504",0.01302783,0.02245336,"1.3027%","2.2453%",Total QRRE,PD Band 8,"8","8",T,,"202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17179,"1408","0512",,,,,Residential Mortgage - Non-Insured,PD Band 8,"8","8",,,"200010","999912",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17574,"1409","0502",0.10091445,0.19705182,"10.0914%","19.7051%",Mortgage,PD Band 9,"9","9",,Y,"202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17575,"1409","0504",0.02787252,0.04807670,"2.7872%","4.8076%",Total QRRE,PD Band 9,"9","9",N,,"202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17349,"1409","0599",0.02146365,0.03740438,"2.1464%","3.7404%",No Exposure Class,PD Band 9,"9","9",,,"202303","202312",N,2023-04-12-15.57.00.000000,2024-02-03-22.55.00.000000
17683,"1410","0502",0.20346063,0.99999999,"20.3460%","99.9999%",Mortgage,PD Band 10,"10","10",,,"202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17580,"1410","0502",0.19705183,0.99999999,"19.7051%","99.9999%",Mortgage,PD Band 10,"10","10",,Y,"202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17351,"1410","0502",0.08483515,0.11911781,"8.4835%","11.9118%",Mortgage,PD Band 10,"10","10",,Y,"202303","202312",N,2023-04-12-15.57.00.000000,2024-02-03-22.55.00.000000
17466,"1410","0504",0.02710575,0.04712729,"2.7105%","4.7127%",Total QRRE,PD Band 10,"10","10",T,,"202401","202411",N,2024-02-03-22.55.00.000000,2024-12-13-13.57.00.000000
17353,"1410","0504",0.02444069,0.04433861,"2.4441%","4.4339%",Total QRRE,PD Band 10,"10","10",T,,"202303","202312",N,2023-04-12-15.57.00.000000,2024-02-03-22.55.00.000000
17199,"1410","0599",,,,,No Exposure Class,PD Band 10,"10","10",,,"200010","202302",N,2014-10-02-10.56.09.000000,2023-04-12-15.57.00.000000
17469,"1411","0502",0.18861110,0.37139920,"18.8611%","37.1399%",Mortgage,PD Band 11,"11","11",,,"202401","202411",N,2024-02-03-22.55.00.000000,2024-12-13-13.57.00.000000
17690,"1411","0504",0.03887451,0.06016992,"3.8874%","6.0169%",Total QRRE,PD Band 11,"11","11",T,,"202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17473,"1411","0507",0.07919726,0.08599492,"7.9197%","8.5994%",Other Retail,PD Band 11,"11","11",,,"202401","202411",N,2024-02-03-22.55.00.000000,2024-12-13-13.57.00.000000
17206,"1401","0502",0.00050000,0.00050000,"0.0500%","0.0500%",Mortgage,PD Band 1,"1","1",,,"202302","999912",Y,2023-03-01-11.29.00.000000,2023-03-01-11.29.00.000000
17406,"1401","0502",0.00050000,0.00050000,"0.0500%","0.0500%",Mortgage,PD Band 1,"1","1",,Y,"202401","999912",Y,2024-02-03-22.55.00.000000,2024-02-03-22.55.00.000000
17299,"1401","0502",0.00050000,0.00050000,"0.0000%","0.0500%",Mortgage,PD Band 1,"1","1",,Y,"202312","202312",N,2024-01-05-14.23.22.621172,2024-02-03-22.55.00.000000
17172,"1401","0512",,,,,Residential Mortgage - Non-Insured,PD Band 1,"1","1",,,"200010","999912",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17407,"1402","0502",0.00050001,0.00094010,"0.0500%","0.0940%",Mortgage,PD Band 2,"2","2",,,"202401","202411",N,2024-02-03-22.55.00.000000,2024-12-13-13.57.00.000000
17529,"1402","0503",0.00050001,0.00149012,"0.0500%","0.1490%",HELOC,PD Band 2,"2","2",,,"202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
