"PRD_CD","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","PRD_NM","EGL_DEPRTMNT","EGL_TRNST","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
KS44      ,"200010","999912",Scotia Student Line - Scotia Student Line type B,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
S05       ,"200010","999912",Direct - Real Estate,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS126     ,"200010","202301",ScotiaLine Visa - Regular - RE Secured >$125K,"10010","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
M27       ,"200010","999912",Mortgage Tangerine Guaranty Bulk Insured,"10910","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS177     ,"201606","202301",Scotiabank Passport Visa Infinite - Staff>$125K,"10210","00002",N,2017-12-07-13.35.29.000000,2023-03-01-00.00.01.000000
KS73      ,"200010","202301",VISA Classic - Visa Classic-Regular > $125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS28      ,"200010","202301",ScotiaLine - Investment Lending - RE Secured >$125K,"10010","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS177     ,"202302","999912",Scotiabank Passport Visa Infinite - Staff>$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS81      ,"202302","999912",VISA Classic - Student Line > $150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
M23       ,"200010","999912",Mortgage Tangerine Genworth Bulk Insured,"10910","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS28      ,"202302","999912",ScotiaLine - Investment Lending - RE Secured >$150K,"10010","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS98      ,"200010","202301",VISA Classic - Scene-Regular - RE Secured >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS170     ,"202302","999912",Scotiabank More Rewards VISA Card - Regular - RE Secured >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS72      ,"200010","999912",VISA Classic - Visa Classic-Regular - RE Secured,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS81      ,"200010","202301",VISA Classic - Student Line > $125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS170     ,"201512","202301",Scotiabank More Rewards VISA Card - Regular - RE Secured >$125K,"10210","00002",N,2016-01-15-15.26.27.000000,2023-03-01-00.00.01.000000
KS11      ,"200010","202301",AMEX - Scotiabank Platinum AMEX >$125K,"10211","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS121     ,"200010","202301",VISA Gold - Visa Gold-Staff >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS122     ,"202302","999912",VISA Gold - Visa Gold-Staff - RE Secured >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS99      ,"200010","999912",VISA Gold - Visa Gold-BA No Fee,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
