"CITY_NM","METRPL_AREA_NM","EFF_FROM_YR_MTH","PROV","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
Vaughan,Toronto,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Beaconsfield,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Blainville,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Boucherville,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Carignan,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Châteauguay,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Delson,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Dollard-Des Ormeaux,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Hampstead,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Kanesatake,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
L'Épiphanie,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
L'Île-Perrot,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Lavaltrie,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Longueuil,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Mascouche,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Mirabel,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Montréal,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Notre-Dame-de-l'Île-Perrot,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Pincourt,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Pointe-des-Cascades,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Rosemère,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-Colomban,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-Joseph-du-Lac,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-Lazare,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-Mathieu-de-Beloeil,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-Sulpice,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Sainte-Anne-des-Plaines,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Sainte-Julie,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Senneville,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Varennes,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Verchères,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-Bruno-de-Montarville,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Cole Harbour 30,Halifax,"200001",NS,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Shubenacadie 13,Halifax,"200001",NS,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Sheet Harbour 36,Halifax,"200001",NS,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Beaver Lake 17,Halifax,"200001",NS,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Halifax,Halifax,"200001",NS,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Anmore,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Coquitlam 2,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Katzie 1,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Langley 5,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Matsqui 4,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Musqueam 4,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Pitt Meadows,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Richmond,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Vancouver,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Burlington,Hamilton,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Barnston Island 3,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Delta,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Katzie 2,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Maple Ridge,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Mission 1,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
New Westminster,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Port Moody,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Tsawwassen,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Whonnock 1,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Belcarra,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Bowen Island,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Burrard Inlet 3,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Coquitlam,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Coquitlam 1,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Greater Vancouver A,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Langley,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Lions Bay,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
McMillan Island 6,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Musqueam 2,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
North Vancouver,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Semiahmoo,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Burnaby,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Port Coquitlam,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Seymour Creek 2,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
West Vancouver,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Hamilton,Hamilton,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
