"ORG_UNIT_HIERARCHY_ID","EFF_FROM_TMSTMP","TRNST_NUM","RGNL_OFFC_TRNST_NUM","DSTRCT_OFFC_TRNST_NUM","RGNL_OFFC_OU_ID","DSTRCT_OFFC_OU_ID","EFF_TO_TMSTMP","CRNT_F","RGNL_OFFC_CD","DSTRCT_OFFC_CD","TRNST_NM","RGNL_OFFC_DESC","DSTRCT_OFFC_DESC","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
17576667,2007-02-12-00.00.00.000000,"40188","20719","94268",17580231,17578467,9999-12-31-00.00.00.000000,Y,"6    ","43                            ","HUMBOLDT, SASK.                                   ",PRAIRIE REGION                            ,SASKATCHEWAN NORTH                        ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575287,2003-11-07-00.00.00.000000,"30577","20719","20537",17580231,17580227,9999-12-31-00.00.00.000000,Y,"6    ","41                            ","MANITOBA/NW ONT STUDENT LOAN CTRE,WPG.MAN.        ",PRAIRIE REGION                            ,WINNIPEG                                  ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17580163,2003-11-07-00.00.00.000000,"11551","00661","60871",17580083,17580547,9999-12-31-00.00.00.000000,Y,"3    ","10                            ","DECARIE & ISABELLA, MTL - U. S. $ ACCTS           ",QUEBEC & EASTERN ONTARIO                  ,MONTREAL & WEST                           ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17579059,2008-02-15-00.00.00.000000,"17376",,"41061",-1,17575670,9999-12-31-00.00.00.000000,Y,"0    ","64                            ",EASTERN ONTARIO MORTGAGE BROKER UNIT              ,NOT APPLICABLE                            ,"PRIVATE BANKING UNITS, DFCS & OTHERS      ",2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17578417,2008-09-15-00.00.00.000000,"02519","20719","32359",17580231,17577716,9999-12-31-00.00.00.000000,Y,"6    ","52                            ",DEALER FINANCE LOANS - ALBERTA                    ,PRAIRIE REGION                            ,PRAIRIE DIRECT REPORTING UNITS            ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17577681,2010-08-16-00.00.00.000000,"25932","68502","31096",17577462,17580307,9999-12-31-00.00.00.000000,Y,"4    ","21                            ","UPPER JAMES ST & RYMAL RD, HAMILTON, ON           ",ONTARIO REGION                            ,HAMILTON & NIAGARA                        ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17577566,2007-07-18-00.00.00.000000,"51490","00810","01750",17580086,17577422,9999-12-31-00.00.00.000000,Y,"7    ","55                            ","COQUITLAM CENTRE, B.C.                            ",BRITISH COLUMBIA REGION                   ,S.E. B.C./CENTRAL EAST VANCOUVER          ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17577198,2011-05-11-00.00.00.000000,"31211","00661","80861",17580083,17580700,9999-12-31-00.00.00.000000,Y,"3    ","08                            ","BROSSARD, QUEBEC                                  ",QUEBEC & EASTERN ONTARIO                  ,MONTREAL & EAST                           ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575978,2004-11-10-00.00.00.000000,"37416",,,-1,-1,9999-12-31-00.00.00.000000,Y,"1    ","06                            ",TRANSLATION SERVICES TORONTO                      ,SHARED SERVICES                           ,SHARED SERVICES                           ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575334,2006-12-11-00.00.00.000000,"84806","32482","21246",17580325,17580237,9999-12-31-00.00.00.000000,Y,"5    ","33                            ","NT BATHURST SQUARE, TORONTO                       ",TORONTO REGION                            ,TORONTO NORTH                             ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
