"PLN_PRD_CD","ACCT_TP_CD","EFF_FROM_YR_MTH","RGSTRD_F","EFF_TO_YR_MTH","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP","CRNT_F"
NRSNE     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
PRISB     ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
PRISB     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
PRISB     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSSN     ,TAS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSSN     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSSN     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RRS       ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RRS       ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RRS       ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSTN     ,TAS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSTN     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSTN     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
REFSB     ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
REFSB     ,MFS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
REFSB     ,DHS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
LIE       ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
LIE       ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
LIE       ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RLI       ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RLI       ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RLI       ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RIS       ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RIS       ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RIS       ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RRSSB     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RRSSB     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RRSSB     ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSWD     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSWD     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSWD     ,TAS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSCN     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSCN     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSCN     ,TAS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
LRI       ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
LRI       ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
LRI       ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
