"TXN_CL_ID","TXN_CL_CD","TXN_CL_DESC","TXN_TP_CD","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
1005900,"281       ",LOTTERY PRIZE PAYMENT,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006230,"550       ",MTGE INSURANCE PREMIUM,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005901,"282       ",INTEREST,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006271,"893       ",RETURNED NSF CHEQUE,N         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006300,"982       ",TXN CODE : 1-982,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005987,"368       ",LOANS,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006256,"728       ",ERROR CORRECTION,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006066,"447       ",BILL PAYMENT,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006166,"141       ",TRANSFER TO,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006127,"855       ",MORTGAGE RENEWAL FEE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005839,"220       ",PAYROLL DEP.,P         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005976,"357       ",LOANS,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005968,"349       ",INSURANCE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006111,"720       ",COMMERCIAL GAS BILL PAYMENT,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005896,"277       ",INVESTMENT,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006011,"392       ",TAXES,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005963,"344       ",INSURANCE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005914,"295       ",INTEREST,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006086,"611       ",DISABILITY PAYMENT,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006084,"609       ",PROV HEALTH CARE PREM,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005937,"318       ",EI,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006124,"852       ",MORTGAGE INTEREST,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006193,"268       ",ERROR CORRECTION,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006101,"710       ",COMMERCIAL INCOME TAXES,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006210,"431       ",OVERDRAFT CHARGE FOR,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005989,"370       ",MORTGAGE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005880,"261       ",MUTUAL FUNDS,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006283,"944       ",REDEEMABLE GIC INTEREST,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006263,"794       ",ERROR CORRECTION,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006113,"722       ",COMMERCIAL CABLE BILL PAYMENT,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006097,"706       ",COMMERCIAL MORTGAGE INSURANCE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005980,"361       ",LOANS,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005942,"323       ",SAVINGS PLAN,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005865,"246       ",ANNUITY,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006141,"906       ",ACCOUNT TRANSFERRED,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006062,"443       ",BILL PAYMENT,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006207,"423       ",TXN CODE : 1-423,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006183,"195       ",DEBIT MEMO,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005869,"250       ",DIVIDEND,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005927,"308       ",CHILD TAX BENEFIT,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006025,"406       ",RENT/LEASE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005841,"222       ",PAYROLL DEP.,P         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006287,"952       ",NON-REDEEMABLE GIC PROCEEDS,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006220,"488       ",ERROR CORRECTION,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006262,"793       ",APPLICABLE TAXES,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005817,"196       ",DEBIT MEMO,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006234,"593       ",ERROR CORRECTION,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006313,"996       ",INTEREST ON SECURITIES,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005983,"364       ",LOANS,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005951,"332       ",AUTO INSURANCE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005967,"348       ",INSURANCE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005863,"244       ",ANNUITY,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005834,"215       ",PAYROLL DEP.,P         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005966,"347       ",INSURANCE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1013266,"386       ",TXN CODE : 1-977,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006182,"194       ",OVERDRAWN HANDLING CHARGE,O         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005911,"292       ",INTEREST,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005845,"226       ",PAYROLL DEP.,P         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005820,"201       ",SPEC. PAYROLL,P         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005892,"273       ",TAX FREE SAVINGS,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005851,"232       ",PROV. PENSION,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005931,"312       ",WAR VETERANS ALLOW.,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006068,"449       ",BILL PAYMENT,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005899,"280       ",INTEREST,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006169,"158       ",ERROR CORRECTION,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006301,"983       ",DEPOSIT,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005827,"208       ",PAYROLL DEP.,P         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006273,"895       ",PRE-AUTHORIZED CREDIT,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005979,"360       ",LOANS,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006071,"452       ",EXPENSE PAYMENT,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006006,"387       ",TAXES,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006282,"942       ",REDEEMABLE GIC PROCEEDS,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006037,"418       ",RENT/LEASE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006013,"394       ",TAXES,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005859,"240       ",ANNUITY,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005828,"209       ",PAYROLL DEP.,P         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005998,"379       ",MORTGAGE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005906,"287       ",INTEREST,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005946,"327       ",FEDERAL GOV'T,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005847,"228       ",PAYROLL DEP.,P         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006306,"989       ",BACK ITEM DEBIT,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006279,"933       ",NON-REDEEMABLE GIC PROCEEDS,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
