"SCRTY_CD","EFF_FROM_YR_MTH","SCRTY_DESC","TP","PRD","SUB_PRD","STEP_F","BASEL_PRD","BASEL_SUB_PRD","BASEL_PROD_ABR","PRD_ID","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
667,"200001",NULL,INDIRECT  ,OTHER,REGULAR,,INDIRECT OTHER,INDIRECT OTHER,INDIRECT OTHER,S14       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
118,"200001",SNOWMOBILE,INDIRECT  ,LEISURE,REGULAR,,INDIRECT OTHER,INDIRECT LEISURE,INDIRECT LEISURE,S12       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
97,"200001",MOBILE HOME,INDIRECT  ,RV,REGULAR,,INDIRECT OTHER,INDIRECT RV,INDIRECT RV,S15       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
78,"200001",MUSICAL INSTRUMENT,INDIRECT  ,OTHER,REGULAR,,INDIRECT OTHER,INDIRECT OTHER,INDIRECT OTHER,S14       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
131,"200001",SWIMMING POOL,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
253,"200001",CANADA SAVINGS BONDS,DIRECT    ,SECURED,CASH/RRC,N,DIRECT SECURED,DIRECT CASH/RRC,DIRECT CASH/RRC,S02       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
91,"200001",MOBILE HOME,DIRECT    ,SECURED,CLIP,N,DIRECT SECURED,DIRECT CLIP,DIRECT CLIP,S03       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
254,"200001",TREASURY BILLS,DIRECT    ,SECURED,CASH/RRC,N,DIRECT SECURED,DIRECT CASH/RRC,DIRECT CASH/RRC,S02       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
16,"200001",NULL,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
151,"200001",AUTO,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
