"DLVY_KEY","TXN_GRP_KEY","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
66900,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
71500,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
54100,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
21900,P,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
73100,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
20900,P,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
53100,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
54300,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
49600,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
55000,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
31700,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
72700,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
70400,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
63100,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
40100,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
54000,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
23000,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
37200,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
74600,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
61800,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
2000,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
74200,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
66600,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
45000,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
28900,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
71600,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
71700,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
4400,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
31600,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
54600,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
23700,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
7600,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
53600,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
54500,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
1000,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
56200,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
74100,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
36800,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
65600,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
59500,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
6600,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
63300,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
22600,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
66700,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
57700,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
33600,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
31300,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
63400,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
54200,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
61500,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
63800,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
64900,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
65800,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
44300,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
53900,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
43700,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
16500,O,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
23400,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
47900,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
46100,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
75400,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
74000,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
36200,P,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
45400,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
