"ORG_UNIT_ID","ORG_UNIT_LVL","TRNST_NUM","ORG_UNIT_NM","CITY","CLS_DT","OPN_DT","PH_NUM","POSTAL_ZIP_CD","PROV_STATE","STRT_ADDR","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
91196958,,"07555",SCOTIABANK CHILE ELIMINATION                      ,                  ,,,                                        ,       ,                  ,                                          ,2022-11-05-05.18.58.000000,2023-12-07-21.15.31.000000
17578575,,"86686",SHARED SVCS-NBCAU A/P                             ,SCARBOROUGH       ,,,                                        ,M1K 5L1,ONTARIO           ,"888 BIRCHMOUNT ROAD, 4TH FLOOR            ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17575030,,"03822",NACT-SPECIAL ACCOUNT MANAGEMENT-PEI & N.B.        ,TORONTO           ,,,                                        ,       ,ONTARIO           ,I.B.D. 44 KING ST. W.                     ,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
91196613,,"26617",CONVENTIONAL SECONDS                              ,TORONTO           ,,,                                        ,M5H 1H1,ONTARIO           ,                                          ,2019-09-10-07.23.00.000000,2023-12-07-21.15.31.000000
17576509,Transit        ,"00224",JACQUET RIVER                                     ,BELLEDUNE         ,,,                                        ,E8G 2P1,NEW BRUNSWICK     ,"3982 MAIN STREET                          ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17576675,Transit        ,"00190","MCBRIDE, B.C.                                     ",MCBRIDE           ,,,                                        ,V0J 2E0,BRITISH COLUMBIA  ,P.O. BOX 9                                ,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17575118,Transit        ,"47282","MT OSHAWA, ONTARIO                                ",OSHAWA            ,,,                                        ,L1H 1A3,ONTARIO           ,"22 KING STREET WEST                       ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
79164003,,"23531",SOLAR UNIQUARTIER                                 ,BROSSARD          ,,,                                        ,J4Z 0R8,QUEBEC            ,******************************************,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
91196411,,"24844",GCX PROJECTS                                      ,TORONTO           ,,,                                        ,       ,ONTARIO           ,                                          ,2018-08-08-14.32.09.000000,2023-12-07-21.15.31.000000
17576731,Transit        ,"70169","FIRST ST. W. & SIXTH AVE., CALGARY, ALTA.         ",CALGARY           ,,,                                        ,T2P 1M6,ALBERTA           ,"602 FIRST STREET S.W.                     ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17578716,,"51227",SCIC - STRATFORD                                  ,TORONTO           ,,,                                        ,       ,ONTARIO           ,******************************************,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
78363013,,"07285",GWO TAIWAN                                        ,TAIPEI            ,,,                                        ,       ,"TAIWAN, R.O.C.    ","8/F,109 MING SHENG E. ROAD, SEC. 3        ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17575248,Transit        ,"75416","NT 176 MAIN ST. W., NORTH BAY                     ",NORTHBAY          ,,,                                        ,P1B 2T5,ONTARIO           ,"P.O. BOX 1350, 176 MAIN STREET WEST       ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
68513016,,"84137",DODD - FRANK                                      ,TORONTO           ,,,                                        ,M5H 1H1,ONTARIO           ,"40 KING STREET WEST, 24TH FLOOR           ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
68079002,,"74047",CANADIAN WEALTH DISTRIBUTION ADJUSTMENT TR        ,TORONTO           ,,,                                        ,M5H 1H1,ONTARIO           ,"40 KING STREET WEST, 13TH FLOOR           ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17579942,,"82727",GRM CCC - STRUCTURED & PESCG                      ,TORONTO           ,,,                                        ,M5H 1H1,ONTARIO           ,"44 KING STREET WEST, 11TH FLOOR           ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17579913,,"92817",COVERED BOND PROGRAM                              ,TORONTO           ,,,                                        ,M5H 1H1,ONTARIO           ,"40 KING STREET WEST, 64TH FLOOR           ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17580051,,"02085",COMMERCIAL BANKING BRANCH - PANAMA                ,PANAMA            ,,,                                        ,       ,REPUBLIC OF PANAMA,******************************************,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
75987008,Transit        ,"29116",MISSISSAUGA & SANDALWOOD                          ,BRAMPTON          ,,,                                        ,L7A 4J1,ONTARIO           ,"85 DUFAY ROAD                             ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17577503,,"92825","NEGRIL, JAMAICA                                   ",******************,,,                                        ,       ,******************,******************************************,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17577964,Transit        ,"63552","HIGHWAY 10 & BOVAIRD, BRAMPTON, ON                ",BRAMPTON          ,,,                                        ,L6V 4K2,ONTARIO           ,"66 QUARRY EDGE DRIVE                      ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17577316,Transit        ,"21329",BEDDINGTON TOWNE CENTRE                           ,CALGARY           ,,,                                        ,T3K 2A8,ALBERTA           ,"8120 BEDDINGTON BLVD.,N.W.                ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
91196963,,"46334",RESERVED TRANSIT                                  ,                  ,,,                                        ,       ,ONTARIO           ,                                          ,2022-11-05-05.18.58.000000,2023-12-07-21.15.31.000000
79502019,,"55913",BNSI IFRS 9 ADJUSTMENT                            ,TORONTO           ,,,                                        ,       ,NOVA SCOTIA       ,******************************************,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
66311001,,"31864",IB NON-BR CHANNEL INITIATIVES                     ,TORONTO           ,,,                                        ,M5H 1H1,ONTARIO           ,"44 KING STREET WEST, 7TH FLOOR            ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17577266,Transit        ,"21550","SIDNEY, BRITISH COLUMBIA                          ",SIDNEY            ,,,                                        ,V8L 1W9,BRITISH COLUMBIA  ,"2355 BEACON AVENUE                        ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17580610,,"68379",HORIZON BANK NA                                   ,MORRISTOWN        ,,,                                        ,"07960  ",NEW JERSEY        ,"INTL. BKG. DIV., 334 MADISON AVENUE       ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
77700005,,"53934",NON_BRANCH_CAU PLT                                ,SCARBOROUGH       ,,,                                        ,M1K 5L1,ONTARIO           ,"888 BIRCHMOUNT ROAD, 4TH FLOOR            ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17578423,,"08185",CITADEL HILL CLO 2000-1 LTD.                      ,ATLANTA           ,,,                                        ,"30308  ",GEORGIA           ,"600 PEACHTREE STREET N.E. SUITE 2700      ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17578449,,"12641",OTTAWA WEST DVP PLAN OF BR                        ,******************,,,                                        ,       ,******************,******************************************,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17579657,,"00535",MEXICO GAAP ADJUSTMENTS                           ,                  ,,,                                        ,       ,MEXICO            ,******************************************,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17577029,Transit        ,"82982","CORNWALL, ONTARIO                                 ",CORNWALL          ,,,                                        ,K6J 4P5,ONTARIO           ,"960 - 17 BROOKDALE AVENUE NORTH           ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17578482,,"48355","CENTRALIZED RETAIL COLLECTION UNIT, D. R.         ",SANTO DOMINGO     ,,,                                        ,       ,DOMINICAN REPUBLIC,******************************************,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17575714,,"21493","MT HALIFAX SALES & SERVICE, HALIFAX, N. S.        ",HALIFAX           ,,,                                        ,B3J 3S9,NOVA SCOTIA       ,"1465 BRENTON STREET, SUITE 504            ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17579539,Transit        ,"02469",WEST SPRINGS - 85TH & 9TH                         ,CALGARY           ,,,                                        ,T3H 0J5,ALBERTA           ,"7000 873 - 85TH STREET SW                 ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17575977,Transit        ,"42283",HALIFAX CAU - CASINO N. S. OFFSITE ABMS           ,HALIFAX           ,,,                                        ,B3J 3J2,NOVA SCOTIA       ,"1465 BRENTON STREET, 4TH FLOOR - SUITE 402",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17577221,Transit        ,"01420",VANCOUVER COMM.BKG.CTRE&MAIN BRANCH               ,VANCOUVER         ,,,                                        ,V6B 4P6,BRITISH COLUMBIA  ,"650 W GEORGIA STREET P.O.BOX 11502        ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17577299,Transit        ,"38232","ALGOCENTRE MALL, ELLIOTT LAKE, ONTARIO            ",ELLIOT LAKE       ,,,                                        ,P5A 2T2,ONTARIO           ,"151 ONTARIO AVENUE                        ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17575097,,"75135",SBPR SAN PATRICIO BRANCH                          ,SAN JUAN          ,,,                                        ,"00936  ",PUERTO RICO       ,P.O. BOX 362230                           ,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17576935,,"80515","SBL - FREEPORT, GRAND BAHAMAS                     ",GRAND BAHAMA      ,,,                                        ,       ,BAHAMAS           ,"P O BOX F-2626, FREEPORT                  ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17575359,,"96925","WULFF RD & JEROME,NASSAU,BAH.-PRE APRIL/98        ",NASSAU            ,,,                                        ,       ,BAHAMAS           ,******************************************,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17577223,Transit        ,"20628",CUMBERLAND PLAZA                                  ,SASKATOON         ,,,                                        ,S7H 0T2,SASKATCHEWAN      ,"3510 8TH. STREET E.                       ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17577715,Transit        ,"31153",AUTOMOTIVE DEALER FINANCE                         ,HAMILTON          ,,,                                        ,L8P 4V2,NOVA SCOTIA       ,"5251 DUKE STREET,  9TH FLOOR, SUITE 900   ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
91196951,,"36194",RESERVED TRANSIT                                  ,                  ,,,                                        ,       ,ONTARIO           ,                                          ,2022-11-05-05.18.58.000000,2023-12-07-21.15.31.000000
17577300,Transit        ,"81299","5TH AVENUE & 5TH STREET, SOUTHWEST                ",CALGARY           ,,,                                        ,T2P 3H5,ALBERTA           ,"605 - 5TH AVENUE SOUTHWEST                ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17579758,Transit        ,"11569",TIMBERLEA LANDING                                 ,FORT MCMURRAY     ,,,                                        ,T9K 0M3,ALBERTA           ,"287 POWDER DRIVE                          ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
70006000,Transit        ,"39008",REGINA CENTRALIZED CURRENCY UNIT                  ,TORONTO           ,,,                                        ,M3C 0N5,ONTARIO           ,"90 WYNFORD DRIVE, 5TH FLOOR               ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17578913,,"68395",REGAL - WEST                                      ,"SAN FRANCISCO, CAL",,,                                        ,"94104  ",UNITED STATES     ,SUITE 2100 - 580 CALIFORNIA STREET        ,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17576584,Transit        ,"50773",ALBANY                                            ,ALBANY            ,,,                                        ,C0B 1A0,PRINCE EDWARD IS  ,"1 TRANS-CANADA HIGHWAY, P.O. BOX 38       ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17576214,,"91975",SCOTIABANK (BELIZE) INT'L LTD. - GAAP             ,BELIZE CITY       ,,,                                        ,       ,BELIZE            ,ALBERT STREET                             ,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17579866,Transit        ,"15123",HALIFAX SYMCOR ABM DEPOSIT PROCESSING CTR         ,MISSISSAUGA       ,,,                                        ,L4W 0B4,ONTARIO           ,"4715 TAHOE BOULEVARD                      ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17579723,,"05033",SM 807 - SALMON ARM                               ,TORONTO           ,,,                                        ,M5H 1H1,ONTARIO           ,"40 KING STREET WEST, 13TH FLOOR           ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17577580,Transit        ,"26062",EGLINTON & CREDITVIEW                             ,MISSISSAUGA       ,,,                                        ,L5V 1N3,ONTARIO           ,"1240 EGLINTON AVENUE WEST, B -16          ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17577260,,"63875",HONGKONG                                          ,HONG KONG         ,,,                                        ,       ,HONG KONG         ,"25TH FLOOR, UNITED CENTRE, 95 QUEENSWAY   ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17577304,Transit        ,"51151",QUEBEC INTERNATIONAL TRADE SERVICES               ,MONTREAL          ,,,                                        ,H2Y 2H7,QUEBEC            ,"715 VICTORIA SQUARE, 2ND FLOOR            ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17577364,,"05652",INTEGRATED BUSINESS SOLUTIONS                     ,TORONTO           ,,,                                        ,M5H 3R3,ONTARIO           ,"20 QUEEN STREET WEST, 25TH FLOOR          ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
73242008,Transit        ,"38976",EMP ENGAGE & STRAT PROJECTS                       ,TORONTO           ,,,                                        ,M3C 0N5,ONTARIO           ,"90 WYNFORD DRIVE                          ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17575914,,"23853",TURKS & CAICOS PRE-APRIL 2003                     ,                  ,,,                                        ,       ,TURKS&CAICOS ISBWI,******************************************,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17575338,Transit        ,"12609","NT 49TH AVENUE, RED DEER                          ",RED DEER          ,,,                                        ,T4N 3W6,ALBERTA           ,"4402- 49TH AVENUE                         ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17579425,,"78675",DB & G LTD. - JAMAICA FAIR VALUE                  ,                  ,,,                                        ,       ,JAMAICA           ,******************************************,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17578674,,"83493",SM 740 - MEDICINE HAT                             ,MEDICINE HAT      ,,,                                        ,T1A 0H3,ALBERTA           ,SUITE 110-516 3 ST SE                     ,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17575689,,"24158",WEALTH MGMT TECH & OPS - PROJECTS                 ,TORONTO           ,,,                                        ,M5H 1H1,ONTARIO           ,"40 KING STREET WEST, 14TH FLOOR           ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
91195013,,"36103",BNS TOR ED ECI US ADJ                             ,TORONTO           ,,,                                        ,       ,NOVA SCOTIA       ,******************************************,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
