"SOURCE_SYSTEM_CODE","BASEL_MORTGAGE_INSURER_GROUP_DES","BULK_INDICATOR","BASEL_PRODUCT_CODE","BASEL_PRODUCT_TYPE_CODE","ASSET_CLASS_NUMBER","ASSET_CLASS_DESCRIPTION","PRODUCT_ID","PORTFOLIO_NAME","PRODUCT_NAME","SUB_PRODUCT_NAME","BASEL_SUB_PRODUCT_NAME","BCAR_SCHEDULE_NUMBER","NCR_EXPOSURE_CLASS_KEY_VALUE","CCAR_BASEL_PRODUCT_TYPE_NAME","CCAR_SHORT_NAME","CURRENCY_OF_ACCOUNT","BASEL_PRODUCT","BASEL_PROD_ABBR","SECURITY_TYPE","PD_BAND_EXPOSURE_CLASS_KEY_VALUE","PD_BAND_EXPOSURE_CLASS_DESCRIPTI","NCR_EXPOSURE_CLASS_DESCRIPTION","DT4_RISK_RT_KEY_VAL","DT4_EXPSR_CL_KEY_VAL","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
MOR,CMHC,Y,MTG BNS,CMHC B,1,REAL ESTATE SECURED,M02,CONSUMER,MORTGAGE (MTG),MORTGAGE BNS,MORTGAGE BNS CMHC BULK INSURED,30,"0510",CMHC_B_BNS,CMHCBBNS,CAD,BNS CMHC BULK INSURED,BNS CMHC BULK,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0211","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
TNG-MOR,CANADA MORTGAGE AND HOUSING CORPORATION,N,MTG TNG,CMHC I,1,REAL ESTATE SECURED,M16,CONSUMER,MORTGAGE (MTG),MORTGAGE TANGERINE (TNG),MORTGAGE TANGERINE CMHC INDIVIDUAL INSURED,30,"0510",CMHC_I_TNG,CMHCITNG,CAD,TNG CMHC INDIVIDUAL INSURED,TNG CMHC INDIVIDUAL,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0212","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
TNG-MOR,CONVENTIONAL,N,MTG TNG,CONV U,1,REAL ESTATE SECURED,M32,CONSUMER,MORTGAGE (MTG),MORTGAGE TANGERINE (TNG),MORTGAGE TANGERINE CONVENTIONAL UNINSURED,30,"0512",CONV_U_TNG,CONVUTNG,CAD,TNG CONVENTIONAL UNINSURED,TNG CONV UNINS.,UNINSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0212","5502","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
MOR,MICC,N,MTG BNS,GENWORTH I,1,REAL ESTATE SECURED,M09,CONSUMER,MORTGAGE (MTG),MORTGAGE BNS,MORTGAGE BNS GENWORTH INDIVIDUAL INSURED,30,"0511",GENW_I_BNS,GEIBNS,CAD,BNS GENWORTH INDIVIDUAL INSURED,BNS GENWORTH INDIVIDUAL,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0211","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
TNG-MOR,CANADA GUARANTY,N,MTG TNG,GUARANTY I,1,REAL ESTATE SECURED,M24,CONSUMER,MORTGAGE (MTG),MORTGAGE TANGERINE (TNG),MORTGAGE TANGERINE GUARANTY INDIVIDUAL INSURED,30,"0511",GUAR_I_TNG,GCITNG,CAD,TNG GUARANTY INDIVIDUAL INSURED,TNG GUARANTY INDIVIDUAL,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0212","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
TNG-MOR,GE BULK INS,N,MTG TNG,GENWORTH I,1,REAL ESTATE SECURED,M22,CONSUMER,MORTGAGE (MTG),MORTGAGE TANGERINE (TNG),MORTGAGE TANGERINE GENWORTH INDIVIDUAL INSURED,30,"0511",GENW_I_TNG,GEITNG,CAD,TNG GENWORTH INDIVIDUAL INSURED,TNG GENWORTH INDIVIDUAL,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0212","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
TNG-MOR,MICC,N,MTG TNG,GUARANTY I,1,REAL ESTATE SECURED,M26,CONSUMER,MORTGAGE (MTG),MORTGAGE TANGERINE (TNG),MORTGAGE TANGERINE GUARANTY INDIVIDUAL INSURED,30,"0511",GUAR_I_TNG,GCITNG,CAD,TNG GUARANTY INDIVIDUAL INSURED,TNG GUARANTY INDIVIDUAL,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0212","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
MOR,CONV,N,MTG BNS,CONV U,1,REAL ESTATE SECURED,M15,CONSUMER,MORTGAGE (MTG),MORTGAGE BNS,MORTGAGE BNS CONVENTIONAL UNINSURED,30,"0512",CONV_U_BNS,CONVUBNS,CAD,BNS CONVENTIONAL UNINSURED,BNS CONV UNINS.,UNINSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0211","5502","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
MOR,GENWORTH,N,MTG BNS,GENWORTH I,1,REAL ESTATE SECURED,M03,CONSUMER,MORTGAGE (MTG),MORTGAGE BNS,MORTGAGE BNS GENWORTH INDIVIDUAL INSURED,30,"0511",GENW_I_BNS,GEIBNS,CAD,BNS GENWORTH INDIVIDUAL INSURED,BNS GENWORTH INDIVIDUAL,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0211","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
MOR,GEMICO(NO DOWN),Y,MTG BNS,GENWORTH B,1,REAL ESTATE SECURED,M12,CONSUMER,MORTGAGE (MTG),MORTGAGE BNS,MORTGAGE BNS GENWORTH BULK INSURED,30,"0511",GENW_B_BNS,GEBBNS,CAD,BNS GENWORTH BULK INSURED,BNS GENWORTH BULK,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0211","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
MOR,GEMICO,N,MTG BNS,GENWORTH I,1,REAL ESTATE SECURED,M07,CONSUMER,MORTGAGE (MTG),MORTGAGE BNS,MORTGAGE BNS GENWORTH INDIVIDUAL INSURED,30,"0511",GENW_I_BNS,GEIBNS,CAD,BNS GENWORTH INDIVIDUAL INSURED,BNS GENWORTH INDIVIDUAL,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0211","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
MOR,GEMICO,Y,MTG BNS,GENWORTH B,1,REAL ESTATE SECURED,M08,CONSUMER,MORTGAGE (MTG),MORTGAGE BNS,MORTGAGE BNS GENWORTH BULK INSURED,30,"0511",GENW_B_BNS,GEBBNS,CAD,BNS GENWORTH BULK INSURED,BNS GENWORTH BULK,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0211","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
MOR,GENWORTH,Y,MTG BNS,GENWORTH B,1,REAL ESTATE SECURED,M04,CONSUMER,MORTGAGE (MTG),MORTGAGE BNS,MORTGAGE BNS GENWORTH BULK INSURED,30,"0511",GENW_B_BNS,GEBBNS,CAD,BNS GENWORTH BULK INSURED,BNS GENWORTH BULK,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0211","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
