"NCR_PD_BAND_ID","NCR_PD_BAND_KEY_VAL","NCR_EXPSR_CL_KEY_VAL","PD_MIN_VAL","PD_MAX_VAL","PD_MIN_VAL_DESC","PD_MAX_VAL_DESC","PD_BAND_EXPSR_CL_DESC","NCR_PD_BAND_DESC","FRS_CD","PD_BAND","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
17608,"1418","0507",0.07510000,0.08040000,"7.51%","8.04%",Other Retail,PD Band 18,"18","18","202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17226,"1418","0511",,,,,Residential Mortgage - Other Insured,PD Band 18,"18","18","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17427,"1418","0599",0.20780000,0.28980000,"20.78%","28.98%",No Exposure Class,PD Band 18,"18","18","202401","202411",N,2024-01-29-13.42.00.000000,2024-12-13-13.57.00.000000
17232,"1419","0503",0.99930000,0.99930000,"99.9300%","99.9300%",HELOC,PD Band 19,"19","19","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17537,"1419","0504",0.83820000,0.87370000,"83.82%","87.37%",Total QRRE,PD Band 19,"19","19","202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17234,"1419","0505",,,,,Credit Card,PD Band 19,"19","19","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17436,"1420","0507",0.99940000,0.99940000,"99.94%","99.94%",Other Retail,PD Band 20,"20","20","202401","202512",N,2024-01-29-13.42.00.000000,2026-01-08-09.59.00.000000
17260,"1421","0507",0.99950000,0.99950000,"99.9500%","99.9500%",Other Retail,PD Band 21,"21","21","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17272,"1422","0507",0.99960000,0.99960000,"99.9600%","99.9600%",Other Retail,PD Band 22,"22","22","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17274,"1422","0511",,,,,Residential Mortgage - Other Insured,PD Band 22,"22","22","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
