"CCAR_BASEL_PRD_TP_NM","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","GUARNT_PARTCPTN_PC","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
CMHC_B_BNS_99_01_13,"200010","999912",100.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
CMHC_B_BNS_99_01_14,"200010","999912",100.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
CMHC_B_TNG_01_01_07,"200010","999912",100.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
CMHC_B_TNG_01_01_08,"200010","999912",100.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
CMHC_B_TNG_01_01_09,"200010","999912",100.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
CMHC_B_TNG_01_01_10,"200010","999912",100.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
CMHC_B_TNG_02_01_07,"200010","999912",100.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
CMHC_B_TNG_02_01_08,"200010","999912",100.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
CMHC_B_TNG_02_01_09,"200010","999912",100.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
CMHC_B_TNG_02_01_10,"200010","999912",100.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
CMHC_B_TNG_03_01_07,"200010","999912",100.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
CMHC_B_TNG_03_01_08,"200010","999912",100.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
CMHC_B_TNG_03_01_09,"200010","999912",100.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
CMHC_B_TNG_03_01_10,"200010","999912",100.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
CMHC_B_TNG_04_01_07,"200010","999912",100.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
CMHC_B_TNG_04_01_08,"200010","999912",100.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
