"NCR_KEY_VAL","NCR_PRNT_KEY_VAL","NCR_KEY_DESC","NCR_PRNT_KEY_DESC","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
"1504","1506",$20k to less than $50k,Less than $50k,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1507","1505",$50k to less than $100k,$50k and over,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1507","1507",$50k to less than $100k,$50k to less than $100k,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0805","0800",Over 90 Days,Total Delinquency Buckets,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0805","0805",Over 90 Days,Over 90 Days,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1420","1420",PD Band 20,PD Band 20,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0505","0500",Credit Card,Total Retail,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0505","0504",Credit Card,Total QRRE,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0505","0505",Credit Card,Credit Card,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0506","0500",LOC,Total Retail,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0506","0504",LOC,Total QRRE,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0506","0506",LOC,LOC,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0507","0500",Other Retail,Total Retail,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0507","0507",Other Retail,Other Retail,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1405","1400",PD Band 5,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1405","1405",PD Band 5,PD Band 5,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1406","1400",PD Band 6,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1406","1406",PD Band 6,PD Band 6,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1407","1400",PD Band 7,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1407","1407",PD Band 7,PD Band 7,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1408","1400",PD Band 8,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1408","1408",PD Band 8,PD Band 8,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1421","1400",PD Band 21,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1421","1421",PD Band 21,PD Band 21,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1422","1400",PD Band 22,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1422","1422",PD Band 22,PD Band 22,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1423","1400",PD Band 23,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1423","1423",PD Band 23,PD Band 23,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1424","1400",PD Band 24,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1424","1424",PD Band 24,PD Band 24,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1425","1400",PD Band 25,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1425","1425",PD Band 25,PD Band 25,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1426","1400",Defaulted - 100%,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1426","1426",Defaulted - 100%,Defaulted - 100%,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1500","1500",Less than $5k,Less than $5k,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1500","1506",Less than $5k,Less than $50k,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1501","1501",$5k to less than $10k,$5k to less than $10k,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1501","1506",$5k to less than $10k,Less than $50k,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1508","1505",$100k to less than $250k,$50k and over,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1508","1508",$100k to less than $250k,$100k to less than $250k,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1509","1505",$250k to less than $500k,$50k and over,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1509","1509",$250k to less than $500k,$250k to less than $500k,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1510","1505",$500k and over,$50k and over,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1510","1510",$500k and over,$500k and over,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
