"NCR_PD_BAND_ID","NCR_PD_BAND_KEY_VAL","NCR_EXPSR_CL_KEY_VAL","PD_MAX_VAL","PD_MIN_VAL","FRS_CD","PD_MIN_VAL_DESC","EFF_FROM_YR_MTH","PD_MAX_VAL_DESC","EFF_TO_YR_MTH","PD_BAND_EXPSR_CL_DESC","NCR_PD_BAND_DESC","PD_BAND","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
17024,"1406","0503",0.00750100,0.00593300,"6         ","0.5933%","200010","0.7501%","999912",HELOC,PD Band 6,"6         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17025,"1407","0503",0.01201700,0.00750200,"7         ","0.7502%","200010","1.2017%","999912",HELOC,PD Band 7,"7         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17026,"1408","0503",0.01863100,0.01201800,"8         ","1.2018%","200010","1.8631%","999912",HELOC,PD Band 8,"8         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17027,"1409","0503",0.03659500,0.01863200,"9         ","1.8632%","200010","3.6595%","999912",HELOC,PD Band 9,"9         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17028,"1410","0503",0.08019600,0.03659600,"10        ","3.6596%","200010","8.0196%","999912",HELOC,PD Band 10,"10        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17029,"1411","0503",0.16630500,0.08019700,"11        ","8.0197%","200010","16.6305%","999912",HELOC,PD Band 11,"11        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17030,"1412","0503",0.29894800,0.16630600,"12        ","16.6306%","200010","29.8948%","999912",HELOC,PD Band 12,"12        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17071,"1402","0500",,,"2         ",,"200010",,"999912",Total Retail,PD Band 2,"2         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17072,"1403","0500",,,"3         ",,"200010",,"999912",Total Retail,PD Band 3,"3         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17073,"1404","0500",,,"4         ",,"200010",,"999912",Total Retail,PD Band 4,"4         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17074,"1405","0500",,,"5         ",,"200010",,"999912",Total Retail,PD Band 5,"5         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17075,"1406","0500",,,"6         ",,"200010",,"999912",Total Retail,PD Band 6,"6         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17076,"1407","0500",,,"7         ",,"200010",,"999912",Total Retail,PD Band 7,"7         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17077,"1408","0500",,,"8         ",,"200010",,"999912",Total Retail,PD Band 8,"8         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
