"CCAR_BASEL_PRD_TP_NM","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","PRD_SHT_NM","EXPSR_SUB_TP_CD","BASEL_1_ASST_TP_CD","REGULATORY_PRD_TP_CD","PD_BAND_CD","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
GENW_I_TNG_04_01_06,"201604","999912",GENWITNG040106                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_TNG_05_01_05,"201604","999912",GENWITNG050105                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_TNG_06_01_04,"201604","999912",GENWITNG060104                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_TNG_06_01_06,"201604","999912",GENWITNG060106                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_BNS_08_01_09,"201604","999912",GENWBBNS080109                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_BNS_08_01_10,"201604","999912",GENWBBNS080110                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_BNS_99_01_11,"201604","999912",GENWBBNS990111                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_BNS_99_01_12,"201604","999912",GENWBBNS990112                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_BNS_99_01_13,"201604","999912",GENWBBNS990113                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_TNG_03_01_08,"201604","999912",GENWBTNG030108                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_TNG_04_01_07,"201604","999912",GENWBTNG040107                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_TNG_04_01_08,"201604","999912",GENWBTNG040108                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_TNG_04_01_09,"201604","999912",GENWBTNG040109                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_TNG_05_01_08,"201604","999912",GENWBTNG050108                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_TNG_05_01_10,"201604","999912",GENWBTNG050110                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_TNG_06_01_09,"201604","999912",GENWBTNG060109                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_TNG_07_01_07,"201604","999912",GENWBTNG070107                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_TNG_07_01_08,"201604","999912",GENWBTNG070108                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_TNG_07_01_10,"201604","999912",GENWBTNG070110                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_TNG_08_01_07,"201604","999912",GENWBTNG080107                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
DTL_UNSEC_07_01_03,"201604","999912",DTLUNSEC070103                          ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
DTL_UNSEC_07_01_05,"201604","999912",DTLUNSEC070105                          ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GUAR_B_BNS_06_01_10,"201604","999912",GUARBBNS060110                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GUAR_B_BNS_07_01_11,"201604","999912",GUARBBNS070111                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GUAR_B_BNS_07_01_12,"201604","999912",GUARBBNS070112                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GUAR_B_BNS_07_01_13,"201604","999912",GUARBBNS070113                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GUAR_B_BNS_08_01_11,"201604","999912",GUARBBNS080111                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GUAR_B_BNS_08_01_12,"201604","999912",GUARBBNS080112                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GUAR_B_BNS_08_01_13,"201604","999912",GUARBBNS080113                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GUAR_B_BNS_99_01_09,"201604","999912",GUARBBNS990109                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_BNS_02_01_13,"201604","999912",GENWIBNS020113                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_BNS_03_01_05,"201604","999912",GENWIBNS030105                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_BNS_03_01_07,"201604","999912",GENWIBNS030107                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_BNS_03_01_08,"201604","999912",GENWIBNS030108                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_BNS_03_01_13,"201604","999912",GENWIBNS030113                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_BNS_07_01_05,"201604","999912",GENWIBNS070105                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_BNS_07_01_07,"201604","999912",GENWIBNS070107                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_BNS_07_01_08,"201604","999912",GENWIBNS070108                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_BNS_08_01_05,"201604","999912",GENWIBNS080105                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_BNS_08_01_07,"201604","999912",GENWIBNS080107                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_BNS_08_01_08,"201604","999912",GENWIBNS080108                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_BNS_08_01_13,"201604","999912",GENWIBNS080113                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_BNS_99_01_05,"201604","999912",GENWIBNS990105                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_BNS_99_01_07,"201604","999912",GENWIBNS990107                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_BNS_99_01_08,"201604","999912",GENWIBNS990108                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_BNS_99_01_13,"201604","999912",GENWIBNS990113                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_BNS_99_01_14,"201604","999912",GENWIBNS990114                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_TNG_01_01_04,"201604","999912",GENWITNG010104                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_BNS_99_01_14,"201604","999912",GENWBBNS990114                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_TNG_01_01_09,"201604","999912",GENWBTNG010109                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_TNG_01_01_10,"201604","999912",GENWBTNG010110                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_TNG_02_01_09,"201604","999912",GENWBTNG020109                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
